===== BOT A =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (A)
[welcome] seat=0 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[hand H-20251113-00000] start | button=Prometheus (A)
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 6000}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 6050}]
[hand H-20251113-00001] start | button=Seat 1
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 2573}, {'seat': 1, 'stack': 2523}, {'seat': 2, 'stack': 12904}]
[hand H-20251113-00002] start | button=Seat 2
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 2523}, {'seat': 1, 'stack': 2423}, {'seat': 2, 'stack': 13054}]
[hand H-20251113-00003] start | button=Prometheus (A)
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 2423}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15577}]
[hand H-20251113-00004] start | button=Seat 2
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 2323}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15677}]
[hand H-20251113-00005] start | button=Prometheus (A)
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 2273}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15727}]
[hand H-20251113-00006] start | button=Seat 2
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 4546}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13454}]
[hand H-20251113-00007] start | button=Prometheus (A)
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 4496}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13504}]
[hand H-20251113-00008] start | button=Seat 2
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 4296}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13704}]
[hand H-20251113-00009] start | button=Prometheus (A)
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 8592}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 9408}]
[hand H-20251113-00010] start | button=Seat 2
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 0}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 18000}]
[match] winner={'seat': 2, 'team': 'Prometheus (HOUSE)'}

===== BOT B =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (B)
[welcome] seat=1 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[practice] waiting for partner | bot=B state=WAITING_FOR_PARTNER
[hand H-20251113-00000] start | button=Seat 0
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 6000}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 6050}]
[hand H-20251113-00001] start | button=Prometheus (B)
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 2573}, {'seat': 1, 'stack': 2523}, {'seat': 2, 'stack': 12904}]
[hand H-20251113-00002] start | button=Seat 2
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 2523}, {'seat': 1, 'stack': 2423}, {'seat': 2, 'stack': 13054}]
[hand H-20251113-00003] start | button=Seat 0
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 2423}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15577}]
[hand H-20251113-00004] start | button=Seat 2
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 2323}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15677}]
[hand H-20251113-00005] start | button=Seat 0
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 2273}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15727}]
[hand H-20251113-00006] start | button=Seat 2
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 4546}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13454}]
[hand H-20251113-00007] start | button=Seat 0
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 4496}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13504}]
[hand H-20251113-00008] start | button=Seat 2
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 4296}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13704}]
[hand H-20251113-00009] start | button=Seat 0
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 8592}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 9408}]
[hand H-20251113-00010] start | button=Seat 2
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 0}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 18000}]
[match] winner={'seat': 2, 'team': 'Prometheus (HOUSE)'}

