===== BOT A =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (A)
[welcome] seat=0 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[hand H-20251113-00000] start | button=Prometheus (A)
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 6000}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 6050}]
[hand H-20251113-00001] start | button=Seat 1
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 5900}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 6150}]
[hand H-20251113-00002] start | button=Seat 2
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 17700}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 300}]
[hand H-20251113-00003] start | button=Prometheus (A)
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 17400}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 600}]
[hand H-20251113-00004] start | button=Seat 2
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 17300}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 700}]
[hand H-20251113-00005] start | button=Prometheus (A)
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 16600}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 1400}]
[hand H-20251113-00006] start | button=Seat 2
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 15496}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2504}]
[hand H-20251113-00007] start | button=Prometheus (A)
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 15446}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2554}]
[hand H-20251113-00008] start | button=Seat 2
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 15346}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2654}]
[hand H-20251113-00009] start | button=Prometheus (A)
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 15296}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2704}]
[hand H-20251113-00010] start | button=Seat 2
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 15196}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2804}]
[hand H-20251113-00011] start | button=Prometheus (A)
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 15146}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2854}]
[hand H-20251113-00012] start | button=Seat 2
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 15046}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2954}]
[hand H-20251113-00013] start | button=Prometheus (A)
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 14996}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 3004}]
[hand H-20251113-00014] start | button=Seat 2
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 12702}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 5298}]
[hand H-20251113-00015] start | button=Prometheus (A)
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 7404}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10596}]
[hand H-20251113-00016] start | button=Seat 2
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 0}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 18000}]
[match] winner={'seat': 2, 'team': 'Prometheus (HOUSE)'}

===== BOT B =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (B)
[welcome] seat=1 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[practice] waiting for partner | bot=B state=WAITING_FOR_PARTNER
[hand H-20251113-00000] start | button=Seat 0
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 6000}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 6050}]
[hand H-20251113-00001] start | button=Prometheus (B)
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 5900}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 6150}]
[hand H-20251113-00002] start | button=Seat 2
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 17700}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 300}]
[hand H-20251113-00003] start | button=Seat 0
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 17400}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 600}]
[hand H-20251113-00004] start | button=Seat 2
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 17300}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 700}]
[hand H-20251113-00005] start | button=Seat 0
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 16600}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 1400}]
[hand H-20251113-00006] start | button=Seat 2
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 15496}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2504}]
[hand H-20251113-00007] start | button=Seat 0
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 15446}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2554}]
[hand H-20251113-00008] start | button=Seat 2
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 15346}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2654}]
[hand H-20251113-00009] start | button=Seat 0
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 15296}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2704}]
[hand H-20251113-00010] start | button=Seat 2
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 15196}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2804}]
[hand H-20251113-00011] start | button=Seat 0
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 15146}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2854}]
[hand H-20251113-00012] start | button=Seat 2
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 15046}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 2954}]
[hand H-20251113-00013] start | button=Seat 0
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 14996}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 3004}]
[hand H-20251113-00014] start | button=Seat 2
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 12702}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 5298}]
[hand H-20251113-00015] start | button=Seat 0
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 7404}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10596}]
[hand H-20251113-00016] start | button=Seat 2
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 0}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 18000}]
[match] winner={'seat': 2, 'team': 'Prometheus (HOUSE)'}

