===== BOT A =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (A)
[welcome] seat=0 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[hand H-20251113-00000] start | button=Prometheus (A)
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 5800}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 6250}]
[hand H-20251113-00001] start | button=Seat 1
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 4042}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 8008}]
[hand H-20251113-00002] start | button=Seat 2
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 3992}, {'seat': 1, 'stack': 5850}, {'seat': 2, 'stack': 8158}]
[hand H-20251113-00003] start | button=Prometheus (A)
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 8034}, {'seat': 1, 'stack': 5800}, {'seat': 2, 'stack': 4166}]
[hand H-20251113-00004] start | button=Seat 1
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 7934}, {'seat': 1, 'stack': 5208}, {'seat': 2, 'stack': 4858}]
[hand H-20251113-00005] start | button=Seat 2
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 2726}, {'seat': 1, 'stack': 15274}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00006] start | button=Prometheus (A)
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 2676}, {'seat': 1, 'stack': 15324}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00007] start | button=Seat 1
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 2726}, {'seat': 1, 'stack': 15274}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00008] start | button=Prometheus (A)
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 2676}, {'seat': 1, 'stack': 15324}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00009] start | button=Seat 1
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00010] start | button=Prometheus (A)
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00011] start | button=Seat 1
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00012] start | button=Prometheus (A)
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00013] start | button=Seat 1
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00014] start | button=Prometheus (A)
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00015] start | button=Seat 1
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00016] start | button=Prometheus (A)
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00017] start | button=Seat 1
[hand H-20251113-00017] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00018] start | button=Prometheus (A)
[hand H-20251113-00018] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00019] start | button=Seat 1
[hand H-20251113-00019] end | stacks=[{'seat': 0, 'stack': 5052}, {'seat': 1, 'stack': 12948}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00020] start | button=Prometheus (A)
[hand H-20251113-00020] end | stacks=[{'seat': 0, 'stack': 5152}, {'seat': 1, 'stack': 12848}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00021] start | button=Seat 1
[hand H-20251113-00021] end | stacks=[{'seat': 0, 'stack': 5202}, {'seat': 1, 'stack': 12798}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00022] start | button=Prometheus (A)
[hand H-20251113-00022] end | stacks=[{'seat': 0, 'stack': 5302}, {'seat': 1, 'stack': 12698}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00023] start | button=Seat 1
[hand H-20251113-00023] end | stacks=[{'seat': 0, 'stack': 5352}, {'seat': 1, 'stack': 12648}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00024] start | button=Prometheus (A)
[hand H-20251113-00024] end | stacks=[{'seat': 0, 'stack': 5302}, {'seat': 1, 'stack': 12698}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00025] start | button=Seat 1
[hand H-20251113-00025] end | stacks=[{'seat': 0, 'stack': 5202}, {'seat': 1, 'stack': 12798}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00026] start | button=Prometheus (A)
[hand H-20251113-00026] end | stacks=[{'seat': 0, 'stack': 5152}, {'seat': 1, 'stack': 12848}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00027] start | button=Seat 1
[hand H-20251113-00027] end | stacks=[{'seat': 0, 'stack': 5202}, {'seat': 1, 'stack': 12798}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00028] start | button=Prometheus (A)
[hand H-20251113-00028] end | stacks=[{'seat': 0, 'stack': 5302}, {'seat': 1, 'stack': 12698}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00029] start | button=Seat 1
[hand H-20251113-00029] end | stacks=[{'seat': 0, 'stack': 5202}, {'seat': 1, 'stack': 12798}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00030] start | button=Prometheus (A)
[hand H-20251113-00030] end | stacks=[{'seat': 0, 'stack': 5152}, {'seat': 1, 'stack': 12848}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00031] start | button=Seat 1
[hand H-20251113-00031] end | stacks=[{'seat': 0, 'stack': 5202}, {'seat': 1, 'stack': 12798}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00032] start | button=Prometheus (A)
[hand H-20251113-00032] end | stacks=[{'seat': 0, 'stack': 5152}, {'seat': 1, 'stack': 12848}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00033] start | button=Seat 1
[hand H-20251113-00033] end | stacks=[{'seat': 0, 'stack': 5202}, {'seat': 1, 'stack': 12798}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00034] start | button=Prometheus (A)
[hand H-20251113-00034] end | stacks=[{'seat': 0, 'stack': 0}, {'seat': 1, 'stack': 18000}, {'seat': 2, 'stack': 0}]
[match] winner={'seat': 1, 'team': 'Prometheus (B)'}

===== BOT B =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (B)
[welcome] seat=1 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[practice] waiting for partner | bot=B state=WAITING_FOR_PARTNER
[hand H-20251113-00000] start | button=Seat 0
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 5800}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 6250}]
[hand H-20251113-00001] start | button=Prometheus (B)
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 4042}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 8008}]
[hand H-20251113-00002] start | button=Seat 2
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 3992}, {'seat': 1, 'stack': 5850}, {'seat': 2, 'stack': 8158}]
[hand H-20251113-00003] start | button=Seat 0
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 8034}, {'seat': 1, 'stack': 5800}, {'seat': 2, 'stack': 4166}]
[hand H-20251113-00004] start | button=Prometheus (B)
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 7934}, {'seat': 1, 'stack': 5208}, {'seat': 2, 'stack': 4858}]
[hand H-20251113-00005] start | button=Seat 2
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 2726}, {'seat': 1, 'stack': 15274}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00006] start | button=Seat 0
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 2676}, {'seat': 1, 'stack': 15324}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00007] start | button=Prometheus (B)
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 2726}, {'seat': 1, 'stack': 15274}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00008] start | button=Seat 0
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 2676}, {'seat': 1, 'stack': 15324}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00009] start | button=Prometheus (B)
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00010] start | button=Seat 0
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00011] start | button=Prometheus (B)
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00012] start | button=Seat 0
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00013] start | button=Prometheus (B)
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00014] start | button=Seat 0
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00015] start | button=Prometheus (B)
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00016] start | button=Seat 0
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00017] start | button=Prometheus (B)
[hand H-20251113-00017] end | stacks=[{'seat': 0, 'stack': 2576}, {'seat': 1, 'stack': 15424}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00018] start | button=Seat 0
[hand H-20251113-00018] end | stacks=[{'seat': 0, 'stack': 2526}, {'seat': 1, 'stack': 15474}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00019] start | button=Prometheus (B)
[hand H-20251113-00019] end | stacks=[{'seat': 0, 'stack': 5052}, {'seat': 1, 'stack': 12948}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00020] start | button=Seat 0
[hand H-20251113-00020] end | stacks=[{'seat': 0, 'stack': 5152}, {'seat': 1, 'stack': 12848}, {'seat': 2, 'stack': 0}]
