===== BOT A =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (A)
[welcome] seat=0 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[hand H-20251113-00000] start | button=Prometheus (A)
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 6000}, {'seat': 1, 'stack': 9079}, {'seat': 2, 'stack': 2921}]
[hand H-20251113-00001] start | button=Seat 1
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 8921}, {'seat': 1, 'stack': 9079}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00002] start | button=Prometheus (A)
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 8871}, {'seat': 1, 'stack': 9129}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00003] start | button=Seat 1
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 8771}, {'seat': 1, 'stack': 9229}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00004] start | button=Prometheus (A)
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 17542}, {'seat': 1, 'stack': 458}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00005] start | button=Seat 1
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 17592}, {'seat': 1, 'stack': 408}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00006] start | button=Prometheus (A)
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 17692}, {'seat': 1, 'stack': 308}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00007] start | button=Seat 1
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 17592}, {'seat': 1, 'stack': 408}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00008] start | button=Prometheus (A)
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 17542}, {'seat': 1, 'stack': 458}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00009] start | button=Seat 1
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 17442}, {'seat': 1, 'stack': 558}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00010] start | button=Prometheus (A)
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 17392}, {'seat': 1, 'stack': 608}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00011] start | button=Seat 1
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 17442}, {'seat': 1, 'stack': 558}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00012] start | button=Prometheus (A)
